Fish ID,Trial,Fish Species,Tank Position,Pair treatment,Fish length (mm),Fish weight (g),Pellets eaten per dyad 18C,Pellets eaten per fish 18C,Pellets by species 18C,First to feed (y/n) 18C,Feeding latency (s) 18C,Feeding latency censor 18C,Position at start 18C,Bumps 18C,Chases 18C,Pellets eaten per dyad 20C,Pellets eaten per fish 20C,Pellets by species 20C,First to feed (y/n) 20C,Feeding latency (s) 20C,Feeding latency censor 20C,Position at start 20C,Bumps 20C,Chases 20C,Pellets eaten per dyad 22C,Pellets eaten per fish 22C,Pellets by Species 22C,First to feed (y/n) 22C,Feeding latency (s) 22C,Feeding latency censor 22C,Position at start 22C,Bumps 22C,Chases 22C
T3CCBot3BC,3,Creek Chub,Bot3,BC,160,48.3,6,3,6,y,250,Uncensored,Hide,2,2,0,0,0,,300,Censored,Hide,0,0,0,0,0,,300,Censored,Hide,0,0
T4BTMid1BC,4,Brook Trout,Mid1,BC,188,54.9,6,3,4,y,3,Uncensored,Top,2,0,2,1,2,y,4,Uncensored,Top,0,0,8,4,2,n,150,Uncensored,Top,0,5
T4CCMid1BC,4,Creek Chub,Mid1,BC,187,55.2,6,3,2,n,258,Uncensored,Bottom,2,0,2,1,0,n,300,Censored,Hide,0,0,8,4,6,y,65,Uncensored,Bottom,0,5
T4BTBot2BC,4,Brook Trout,Bot2,BC,186,53.6,15,7.5,15,y,18,Uncensored,Bottom,0,0,15,7.5,11,y,2,Uncensored,Bottom,0,0,13,6.5,13,y,2,Uncensored,Top,0,0
T4CCBot2BC,4,Creek Chub,Bot2,BC,188,51.7,15,7.5,0,n,300,Censored,Hide,0,0,15,7.5,4,n,64,Uncensored,Hide,0,0,13,6.5,0,n,0,Uncensored,Hide,0,0
T4BTTop3BC,4,Brook Trout,Top3,BC,175,52.7,14,7,14,y,27,Uncensored,Bottom,0,0,0,0,,,300,Censored,Hide,0,0,15,7.5,15,y,1,Uncensored,Bottom,0,0
T4CCTop3BC,4,Creek Chub,Top3,BC,180,49.8,14,7,0,n,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,15,7.5,0,n,300,Censored,Hide,0,0
T5BTBot1BC,5,Brook Trout,Bot1,BC,213,98.2,15,7.5,15,y,7,Uncensored,Top,0,0,13,6.5,13,,25,Uncensored,Bottom,0,0,13,6.5,,,3,Uncensored,Top,0,0
T5CCBot1BC,5,Creek Chub,Bot1,BC,209,86.9,15,7.5,0,n,300,Censored,Hide,0,0,13,6.5,0,,300,Censored,Hide,0,0,13,6.5,,,3,Uncensored,Hide,0,0
T5BTTop2BC,5,Brook Trout,Top2,BC,209,89.1,15,7.5,15,y,2,Uncensored,Bottom,0,0,15,7.5,15,,2,Uncensored,Top,0,0,15,7.5,15,,2,Uncensored,Top,0,0
T5CCTop2BC,5,Creek Chub,Top2,BC,208,82.2,15,7.5,0,n,300,Censored,Hide,0,0,15,7.5,0,,300,Censored,Hide,0,0,15,7.5,0,,300,Censored,Hide,0,0
T5BTMid3BC,5,Brook Trout,Mid3,BC,208,87.6,0,0,,,300,Censored,Top,0,0,,,,,,,,,,,,,,,,,,
T5CCMid3BC,5,Creek Chub,Mid3,BC,210,94.4,0,0,,,300,Censored,Hide,0,0,,,,,,,,,,,,,,,,,,
T6BTBot1BC,6,Brook Trout,Bot1,BC,180,58.1,9,4.5,9,,10,Uncensored,Top,0,0,0,0,0,,300,Censored,Top,0,0,0,0,0,,300,Censored,Top,0,0
T6CCBot1BC,6,Creek Chub,Bot1,BC,180,53,9,4.5,0,,300,Censored,Hide,0,0,0,0,0,,300,Censored,Hide,0,0,0,0,0,,300,Censored,Hide,0,0
T6BTTop2BC,6,Brook Trout,Top2,BC,188,51.8,0,0,,,300,Censored,Bottom,0,0,0,0,,,300,Censored,Bottom,0,0,0,0,0,,300,Censored,Bottom,0,0
T6CCTop2BC,6,Creek Chub,Top2,BC,187,56.9,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,0,0,0,,300,Censored,Hide,0,0
T6BTMid3BC,6,Brook Trout,Mid3,BC,171,44.5,15,7.5,11,y,2,Uncensored,Top,2,10,0,0,0,,300,Censored,Hide,0,0,0,0,0,,300,Censored,Bottom,0,0
T6CCMid3BC,6,Creek Chub,Mid3,BC,165,39.9,15,7.5,4,n,140,Uncensored,Hide,2,10,0,0,0,,300,Censored,Hide,0,0,0,0,0,,300,Censored,Hide,0,0
T7BTTop1BC,7,Brook Trout,Top1,BC,176,49.5,12,6,12,y,32,Uncensored,Bottom,0,0,15,7.5,15,y,4,Uncensored,Top,0,0,15,7.5,15,y,26,Uncensored,Top,0,0
T7CCTop1BC,7,Creek Chub,Top1,BC,170,46.5,12,6,0,n,0,Uncensored,Hide,0,0,15,7.5,0,n,300,Censored,Hide,0,0,15,7.5,0,n,300,Censored,Hide,0,0
T7BTBot2BC,7,Brook Trout,Bot2,BC,167,39.9,13,6.5,8,n,33,Uncensored,Bottom,0,3,11,5.5,6,y,3,Uncensored,Hide,0,6,9,4.5,4,y,83,Uncensored,Hide,0,8
T7CCBot2BC,7,Creek Chub,Bot2,BC,166,43.1,13,6.5,5,y,5,Uncensored,Hide,0,3,11,5.5,5,n,26,Uncensored,Hide,0,6,9,4.5,5,n,143,Uncensored,Hide,0,8
T7BTMid3BC,7,Brook Trout,Mid3,BC,165,37.2,10,5,10,y,2,Uncensored,Bottom,0,0,15,7.5,7,y,1,Uncensored,Top,0,2,14,7,14,y,1,Uncensored,Top,0,0
T7CCMid3BC,7,Creek Chub,Mid3,BC,167,40.1,10,5,0,n,300,Censored,Hide,0,0,15,7.5,8,n,64,Uncensored,Hide,0,2,14,7,0,n,300,Censored,Hide,0,0
T1CCRight4C,1,Creek Chub,Right4,C,131,21.7,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,3,1.5,,,240,Uncensored,Bottom,0,0
T2CCRight4C,2,Creek Chub,Right4,C,133,23.3,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T3CCLeft4C,3,Creek Chub,Left4,C,131,21.8,1,0.5,,,9,Uncensored,Bottom,0,0,0,0,,,300,Censored,Hide,0,0,1,0.5,,,4,Uncensored,Hide,0,0
T4CCRight4C,4,Creek Chub,Right4,C,143,28.2,5,2.5,,,4,Uncensored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,14,7,,,2,Uncensored,Top,0,0
T5CCRight4C,5,Creek Chub,Right4,C,146,27.6,1,0.5,,,228,Uncensored,Top,0,0,0,0,,,300,Censored,Hide,0,0,5,2.5,,,14,Uncensored,Bottom,0,0
T6CCRight4C,6,Creek Chub,Right4,C,142,24.7,6,3,,,80,Uncensored,Hide,0,0,7,3.5,,,4,Uncensored,Bottom,0,0,11,5.5,,,79,Uncensored,Hide,0,0
T7CCLeft4C,7,Creek Chub,Left4,C,132,24.5,,0,,,,,,0,0,6,3,,,20,Uncensored,Bottom,0,0,0,0,,,300,Censored,Hide,0,0
T1CC1Mid1CC,1,Creek Chub,Mid1,CC,120,16.8,6,3,,,10,Uncensored,Hide,0,0,9,4.5,,,13,Uncensored,Bottom,0,1,14,7,,,4,Uncensored,Bottom,0,0
T1CC2Mid1CC,1,Creek Chub,Mid1,CC,122,17.3,6,3,,,10,Uncensored,Hide,0,0,9,4.5,,,13,Uncensored,Hide,0,1,14,7,,,4,Uncensored,Bottom,0,0
T1CC1Bot2CC,1,Creek Chub,Bot2,CC,131,20.8,0,0,,,300,Censored,Hide,0,0,8,4,,,64,Uncensored,Hide,0,0,7,3.5,,,65,Uncensored,Hide,2,0
T1CC2Bot2CC,1,Creek Chub,Bot2,CC,127,20.2,0,0,,,300,Censored,Hide,0,0,8,4,,,64,Uncensored,Hide,0,0,7,3.5,,,65,Uncensored,Hide,2,0
T1CC1Top3CC,1,Creek Chub,Top3,CC,135,26.1,0,0,,,300,Censored,Top,0,0,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T1CC2Top3CC,1,Creek Chub,Top3,CC,130,19.2,0,0,,,300,Censored,Top,0,0,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T2CC1Top1CC,2,Creek Chub,Top1,CC,154,41.9,8,4,,,2,Uncensored,Bottom,0,2,0,0,,,300,Censored,Hide,0,0,5,2.5,,,43,Uncensored,Hide,0,0
T2CC2Top1CC,2,Creek Chub,Top1,CC,154,36.4,8,4,,,2,Uncensored,Hide,0,2,0,0,,,300,Censored,Hide,0,0,5,2.5,,,43,Uncensored,Hide,0,0
T2CC1Mid2CC,2,Creek Chub,Mid2,CC,137,27.6,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T2CC2Mid2CC,2,Creek Chub,Mid2,CC,143,27.3,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T2CC1Bot3CC,2,Creek Chub,Bot3,CC,136,23.2,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T2CC2Bot3CC,2,Creek Chub,Bot3,CC,135,22.3,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T3CC1Bot1CC,3,Creek Chub,Bot1,CC,141,28.9,3,1.5,,,285,Uncensored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T3CC2Bot1CC,3,Creek Chub,Bot1,CC,137,25.7,3,1.5,,,285,Uncensored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T3CC1Top2CC,3,Creek Chub,Top2,CC,138,38.4,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T3CC2Top2CC,3,Creek Chub,Top2,CC,142,29.8,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T3CC1Mid3CC,3,Creek Chub,Mid3,CC,158,38.8,3,1.5,,,114,Uncensored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T3CC2Mid3CC,3,Creek Chub,Mid3,CC,154,29.4,3,1.5,,,114,Uncensored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T4CC1Top1CC,4,Creek Chub,Top1,CC,134,24.6,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,14,7,,,1,Uncensored,Hide,0,0
T4CC2Top1CC,4,Creek Chub,Top1,CC,133,24.2,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,14,7,,,1,Uncensored,Hide,0,0
T4CC1Mid2CC,4,Creek Chub,Mid2,CC,138,23.8,0,0,,,300,Censored,Hide,0,0,1,0.5,,,112,Uncensored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T4CC2Mid2CC,4,Creek Chub,Mid2,CC,141,26.5,0,0,,,300,Censored,Hide,0,0,1,0.5,,,112,Uncensored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T4CC1Bot3CC,4,Creek Chub,Bot3,CC,157,38.2,8,4,,,26,Uncensored,Top,0,0,0,0,,,300,Censored,Bottom,0,0,9,4.5,,,6,Uncensored,Hide,0,0
T4CC2Bot3CC,4,Creek Chub,Bot3,CC,151,29,8,4,,,26,Uncensored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,9,4.5,,,6,Uncensored,Hide,0,0
T5CC1Mid1CC,5,Creek Chub,Mid1,CC,132,22,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T5CC2Mid1CC,5,Creek Chub,Mid1,CC,135,23.4,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T5CC1Bot2CC,5,Creek Chub,Bot2,CC,142,26.2,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,2,1,,,262,Uncensored,Hide,0,0
T5CC2Bot2CC,5,Creek Chub,Bot2,CC,141,31.2,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,2,1,,,262,Uncensored,Hide,0,0
T5CC1Top3CC,5,Creek Chub,Top3,CC,152,32.4,1,0.5,,,72,Uncensored,Hide,0,0,,,,,,,,,,,,,,,,,,
T5CC2Top3CC,5,Creek Chub,Top3,CC,148,30,1,0.5,,,72,Uncensored,Hide,0,0,,,,,,,,,,,,,,,,,,
T6CC1Mid1CC,6,Creek Chub,Mid1,CC,145,28.7,15,7.5,,,2,Uncensored,Top,0,0,3,1.5,,,34,Uncensored,Hide,0,0,14,7,,,66,Uncensored,Hide,0,0
T6CC2Mid1CC,6,Creek Chub,Mid1,CC,144,25.4,15,7.5,,,2,Uncensored,Top,0,0,3,1.5,,,34,Uncensored,Hide,0,0,14,7,,,66,Uncensored,Hide,0,0
T6CC1Bot2CC,6,Creek Chub,Bot2,CC,144,26.9,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T6CC2Bot2CC,6,Creek Chub,Bot2,CC,149,30.8,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0,0,0,,,300,Censored,Hide,0,0
T6CC1Top3CC,6,Creek Chub,Top3,CC,130,19.8,15,7.5,,,12,Uncensored,Top,0,1,8,4,,,7,Uncensored,Hide,0,0,15,7.5,,,69,Uncensored,Top,0,2
T6CC2Top3CC,6,Creek Chub,Top3,CC,136,28.9,15,7.5,,,12,Uncensored,Top,0,1,8,4,,,7,Uncensored,Hide,0,0,15,7.5,,,69,Uncensored,Top,0,2
T7CC1Mid1CC,7,Creek Chub,Mid1,CC,157,38.9,0,0,,,300,Censored,Hide,0,0,15,7.5,,,1,Uncensored,Bottom,0,10,13,6.5,,,115,Uncensored,Hide,0,7
T7CC2Mid1CC,7,Creek Chub,Mid1,CC,162,43,0,0,,,300,Censored,Hide,0,0,15,7.5,,,1,Uncensored,Hide,0,10,13,6.5,,,115,Uncensored,Hide,0,7
T7CC1Top2CC,7,Creek Chub,Top2,CC,160,38.4,0,0,,,300,Censored,Hide,0,0,2,1,,,278,Uncensored,Hide,0,0,5,2.5,,,45,Uncensored,Hide,0,2
T7CC2Top2CC,7,Creek Chub,Top2,CC,163,39.3,0,0,,,300,Censored,Hide,0,0,2,1,,,278,Uncensored,Hide,0,0,5,2.5,,,45,Uncensored,Hide,0,2
T7CC1Bot3CC,7,Creek Chub,Bot3,CC,164,37.8,0,0,,,300,Censored,Hide,0,0,12,6,,,66,Uncensored,Hide,0,0,1,0.5,,,64,Uncensored,Hide,0,0
T7CC2Bot3CC,7,Creek Chub,Bot3,CC,164,37.1,0,0,,,300,Censored,Hide,0,0,12,6,,,66,Uncensored,Hide,0,0,1,0.5,,,64,Uncensored,Hide,0,0
